PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
BreannaStewart,11,2-11,0-5,1-2,14,1,13,2,1,0,1,3,6
JewellLoyd,12,10-21,4-9,4-5,5,3,2,1,0,1,3,2,30
RickeaJackson,12,6-15,1-3,1-1,2,1,1,1,2,0,1,2,15
DiJonaiCarrington,11,3-6,0-2,1-1,5,0,5,3,1,1,2,3,8
CourtneyVandersloot,8,4-7,1-2,1-1,2,0,2,2,0,0,2,3,11
AaliyahEdwards,8,5-7,0-0,0-0,8,3,5,3,0,0,1,2,10
TEAM,,30-67,6-21,8-10,42,10,32,12,4,2,10,15,80
,,44.8%,28.6%,80.0%,,,,,,,,,
SkylarDiggins-Smith,11,8-17,3-8,1-3,4,1,3,1,1,1,0,5,21
ShakiraAustin,7,1-3,0-0,1-1,2,1,1,0,1,1,3,2,4
NapheesaCollier,19,11-19,3-6,1-3,11,1,10,3,2,0,1,1,27
CameronBrink,DNP,,,,,,,,,,,,
AllishaGray,15,5-13,0-4,3-4,6,0,6,1,1,0,3,3,15
CourtneyWilliams,10,6-10,0-1,1-1,7,0,7,4,0,1,0,3,14
TEAM,,32-63,7-20,7-12,32,3,29,9,5,3,7,14,84
,,50.8%,35.0%,58.3%,,,,,,,,,
LexieHull,6,1-2,1-1,0-0,1,0,1,1,0,0,0,0,3
ChelseaGray,16,8-20,2-7,2-2,9,2,7,6,2,0,3,1,21
BrittneySykes,9,4-9,1-1,0-0,0,0,0,2,0,0,0,3,9
AzuráStevens,9,3-10,0-2,0-0,8,4,4,0,0,1,0,3,6
KahleahCopper,16,8-15,2-5,3-4,3,1,2,1,2,0,3,3,24
AngelReese,13,3-7,0-0,2-2,14,2,12,4,0,0,5,4,10
TEAM,,27-63,6-16,7-8,38,10,28,14,4,1,11,14,73
,,42.9%,37.5%,87.5%,,,,,,,,,
AliyahBoston,10,3-9,0-0,0-0,7,4,3,2,1,0,1,2,6
RaeBurrell,5,2-5,1-1,1-1,0,0,0,0,0,1,0,0,7
ArikeOgunbowale,14,5-11,0-4,0-0,1,0,1,2,1,0,1,3,10
JordinCanada,9,3-7,0-3,0-0,0,0,0,1,3,0,2,1,6
DearicaHamby,13,6-12,0-1,3-4,13,2,11,4,2,2,5,5,17
RhyneHoward,18,10-19,6-12,3-4,6,0,6,1,1,2,1,1,33
TEAM,,29-63,7-21,7-9,35,8,27,10,8,5,10,12,79
,,46.0%,33.3%,77.8%,,,,,,,,,
BrittneyGriner,33,3-7,1-2,0-2,6,0,6,0,0,1,1,1,7
SatouSabally,31,4-14,1-4,1-1,7,2,5,2,2,0,4,4,11
SabrinaIonescu,32,6-17,5-13,1-2,4,0,4,2,2,1,0,0,18
MarinaMabrey,DNP,,,,,,,,,,,,
NatashaCloud,13,4-11,2-5,0-0,3,0,3,2,0,0,4,2,10
